January,17.54,-9.72,27.44,1.13,5.99,-14.14
February,20.8,-14.67,20.53,-0.97,-4.21,-17.07
March,38.35,19.44,36.34,3.45,20.39,12.42
April,48.3,26.29,59.56,53.53,58.09,19.37
May,48.45,78.59,77.64,56.37,75.27,51.75
June,53.21,76.25,63.54,80.5,80.06,80.71
July,94.06,83.61,77.78,75.73,94.01,64.22
August,93.31,92.29,80.34,100.82,100.27,94.89
September,77.32,58.59,77.51,69.51,60.96,55.9
October,50.18,62.81,46.5,46.58,45.67,67.15
November,47.09,32.45,47.21,26.35,46.91,20.07
December,27.48,28.42,5.02,8.67,31,25.71
